DATE,OPEN,MAX,MIN,CLOSE,CLASS,2,42,45,48,68,75,88,139,171,172,179,187,218,221,223,231,237,date.year,date.month,date.day-of-month,date.day-of-week
4/11/07,144.82,144.86,143.54,144.02,1,2.57,0.19,1.2823,1.3966,0.95,14.58,1.1,0.96,-0.04,I,0.65,14.64,95.3059,28.47,0.1749,46193056578,1.3163,7,4,11,3
4/12/07,143.74,144.92,143.34,144.66,1,2.55,0.19,1.312,1.4037,0.94,0.0,1.31,0.92,-0.04,I,0.52,14.64,96.2587,29.05,1.3478,47177152585,3.1451,7,4,12,4
4/13/07,144.9,145.32,144.36,145.32,1,2.53,0.19,1.2768,1.4105,0.92,14.65,1.06,0.93,-0.04,B,0.53,14.64,97.194,29.83,1.7551,47799773041,3.9353,7,4,13,5
4/16/07,145.83,146.86,145.82,146.7,1,2.51,0.19,1.3031,1.4166,0.91,14.94,4.08,0.87,-0.04,I,0.6,14.64,97.8955,31.05,3.2905,49116378735,6.0272,7,4,16,1
4/17/07,146.97,147.4,146.65,147.09,1,2.5,0.19,1.2478,1.4211,0.93,14.11,3.42,0.93,-0.04,I,0.59,14.64,98.1748,32.11,2.2742,49163181504,4.8973,7,4,17,2
4/18/07,146.6,147.7,146.57,147.27,1,2.49,0.19,1.236,1.4254,0.94,14.48,3.58,0.92,-0.04,I,0.48,14.64,97.0526,32.73,0.9354,49052011935,3.5573,7,4,18,3
4/19/07,146.55,147.4,146.36,147.23,1,2.48,0.19,1.2164,1.4293,0.94,14.97,3.9,0.9,-0.04,I,0.49,14.64,93.0755,32.52,-0.9553,48646030310,1.7462,7,4,19,4
4/20/07,148.22,148.62,147.04,148.62,1,2.48,0.2,1.2528,1.4348,0.96,14.6,1.36,0.92,-0.04,I,0.58,14.64,94.8067,33.06,1.4581,50173138425,3.9745,7,4,20,5
4/23/07,148.37,148.73,147.97,148.06,1,2.48,0.2,1.2035,1.4408,1.0,14.62,0.57,0.94,-0.04,I,0.65,14.64,95.7319,33.45,0.6501,49978083486,2.4805,7,4,23,1
4/24/07,148.23,148.4,147.32,148.12,1,2.48,0.2,1.1912,1.4489,1.0,14.69,1.49,0.93,-0.03,I,0.66,14.64,95.236,33.5,-0.4214,49903018161,1.5193,7,4,24,2
4/25/07,148.73,149.66,148.02,149.48,1,2.48,0.2,1.236,1.46,1.01,14.74,4.9,0.92,-0.03,I,0.64,14.64,96.427,34.07,1.2011,51459147026,4.0518,7,4,25,3
4/26/07,149.49,149.8,149.1,149.65,1,2.48,0.2,1.1824,1.474,1.02,14.82,0.71,0.92,-0.03,I,0.65,14.64,96.6555,34.39,0.2549,51286182597,2.6359,7,4,26,4
4/27/07,149.09,149.74,148.84,149.53,1,2.49,0.2,1.1542,1.4903,1.0,14.73,0.71,0.92,-0.03,I,0.67,14.64,95.3735,34.3,-0.8552,50794919250,0.6079,7,4,27,5
4/30/07,149.64,149.74,148.21,148.29,1,2.5,0.2,1.1918,1.5078,1.01,14.56,0.85,0.95,-0.02,I,0.75,14.64,89.4028,33.01,-3.3313,49436095325,-2.851,7,4,30,1
5/1/07,148.42,149.47,147.67,148.67,1,2.51,0.2,1.2526,1.5254,1.01,14.55,0.99,0.95,-0.02,I,0.75,14.64,85.0838,31.96,-2.8446,49572841936,-2.6452,7,5,1,2
5/2/07,148.9,149.95,148.75,149.54,1,2.52,0.2,1.2553,1.543,0.99,14.77,3.42,0.93,-0.02,I,0.78,14.64,87.636,31.78,-0.4472,51140624190,0.5166,7,5,2,3
5/3/07,149.97,150.4,149.73,150.35,1,2.54,0.2,1.2158,1.5613,0.99,14.51,0.76,0.94,-0.01,I,0.79,14.64,90.727,31.83,-0.0515,51829180189,1.4994,7,5,3,4
5/4/07,150.75,151.12,150.22,150.92,1,2.55,0.2,1.1842,1.5806,0.97,14.62,0.83,0.93,-0.01,I,0.71,14.64,93.0453,32.13,0.4666,52294290649,1.8994,7,5,4,5
5/7/07,150.88,151.2,150.81,150.95,1,2.57,0.2,1.1048,1.6,0.99,14.67,1.75,0.94,-0.01,I,0.67,14.64,94.7839,32.55,0.4892,52713921135,2.2434,7,5,7,1
5/8/07,150.58,150.92,150.13,150.75,1,2.59,0.2,1.0763,1.618,0.98,14.68,0.76,0.94,-0.01,I,0.68,14.64,93.4465,32.39,-0.8684,52299401122,0.4621,7,5,8,2
5/9/07,150.64,152.82,150.37,151.16,1,2.61,0.2,1.2137,1.6325,0.97,14.67,1.18,0.94,-0.0,I,0.58,14.64,95.0849,32.63,0.1421,53096715628,1.6874,7,5,9,3
5/10/07,150.73,151.02,149.27,149.58,1,2.63,0.2,1.2813,1.6421,0.97,14.75,0.69,0.96,-0.0,I,0.77,14.64,87.0863,31.38,-2.9379,51361011502,-2.8996,7,5,10,4
5/11/07,149.75,150.93,149.72,150.86,1,2.66,0.2,1.2882,1.6473,0.96,14.64,0.9,0.95,0.0,A,0.85,14.64,90.1541,31.06,-0.27,52651780222,0.1839,7,5,11,5
5/14/07,150.86,151.3,149.79,150.53,1,2.68,0.2,1.3104,1.6494,0.98,14.75,0.89,0.96,0.0,A,0.75,14.64,86.7518,30.1,-2.0046,52293561695,-1.208,7,5,14,1
5/15/07,150.7,151.66,150.19,150.57,1,2.7,0.21,1.3263,1.651,0.98,14.86,0.0,0.96,0.01,A,0.75,14.64,79.4868,28.68,-3.2364,51914488397,-2.3235,7,5,15,2
5/16/07,150.8,151.63,150.38,151.6,1,2.73,0.21,1.3187,1.6534,0.96,15.05,0.27,0.96,0.01,A,0.76,14.64,79.0196,27.79,-1.9029,52867585832,-0.2749,7,5,16,3
